,Test_set,Actual Values,Predicted Values
6985,could underrated movie genre dont remember seeing advertisements commercials one could reason didnt well box office however frailty excellent truly original horror movie rank within top favorite horror movies list movie begins snapshots photos news articles telling killer calls gods hand man walks police station tells chief officer knows killer brother two leave together location victims buried might help solve case trip man begins telling story brother back time events began fenton adam two young brothers living strict religious father one day claims received divine message god asking kill demons appear regular human beings receives god list names demons destroyed asks sons help carry divine mission absolutely horrifying suspenseful film keep edge seat tension runs high innocent people demons get killed religious experiences questioned one intelligent twists end like genre highly recommend frailty dvd one time favorite horror thrillers,1,1
1470,fate stay night animated series inspired game somehow producers turned around making successful series without stuff couldnt way development characters great way series alteration could ruin perfection youll understand see episodes despite relatively slow start producer took time presenting characters things gain momentum quickly soon mid series action gets intense glues seat series concentrates war holy grail taking place fukuky city last years pilot actually starts conclusion previous war develops shiro survivor fire started last battle enveloped large portion city unwillingly witnesses fight two servants triggers reiju holy mark summon one powerful servants battlefield saber first contact saber left stunned immeasurable beauty lost words mustnt compare series fully understand plot fsn offers much cool sword fights good animation spectacular lights great soundtrack offers excellent character relationship development presents changes take place within characters personalities events precipitate action reveals believable dynamic emotional behavioral patterns individuals similar linear type series use constantly shaping personalities reveal mask perfection flawed characters saber character tied medieval legend altered fit series accepted shouldnt watch fsn thinking doesnt present viewer historic fact remember adventure fantasy series documentary enjoy long ending sudden unexpected twice many episodes would watched breath,1,1
8507,went movie cast crew show cause friend producer movie invited forget seen commercials forget heard see film surprised world grinch charlies angels day unbreakable comes film worth hard earned bucks glorious scenes wonderful cinemtrophy cast want eat heart found one years orchestrated powerhouse films reason robert deniro deserves oscar nod could give oscar everyone involved package would film,1,1
2553,filmed mgm sets english version german garbos second portrayal anna christie benefited practice apparent ease german dialog garbo appears relaxed natural jacques feyders direction clarence browns silent movie mannerisms disappeared made transition sound complete strength brought character remains although softened garbo reveals annas vulnerability entire cast exception garbo different previous version film garbo benefits compete marie dressler stole every scene english language version feyders film garbo holds center attention throughout although three supporting players particularly father gave excellent performances feyders direction assured clarence browns use camera editing techniques seem constrained new sound process brown film moves fluidity english language adaptation static nature first film replaced flow maintains viewer interest even william daniels cinematography seems improved filming brown version captured garbos luminescence atmospherics docks style also screenplay adaptation european audience made annas profession quite clear start explicitness clarifies viewers unfamiliar play implied brown filming however film made production code introduced made censorship puzzling garbos oscar nomination anna christie always somewhat mystifying suspected nod given recognition relatively smooth transition sound films performance however academy voters may seen german language version film realized contemporary viewers anna christie feyders direction definitely oscar worthy,1,1
5657,occasionally surrealistic thriller push peoples buttons man sure offend anyone taste politically correct storys protagonist bisexual alcoholic catholic writer gerard krabbe seriously twisted sense imagination verhoeven offers gerard example everything wrong modern man hes shiftless delusional unable control urges afraid commit meaningful relationships utterly apathetic life general character states one point professional liar unable recall truth movie opens gerard dreaming spiders consuming christ waking begin long march destruction chases one man boyfriend presumably chases another train station later lecture meets woman seems want help perhaps nefarious plans quickly captures gerard web enticing sex money plenty shes also got secrets like three dead husbands lonely genuinely looking someone nurture deadly black widow luring gerard death garard man kills woman christine soutendijk verhoeven best keep guessing shes interesting movie lot sex intrigue similar verhoevens basic instinct lot depth certainly shocking theres lot strong gay content may make viewers squirm highly recommended fans intelligent psychological thrillers anyone looking something entirely new,1,1
15034,hearing praise play decided watch stumbled across cable dont see elivates women struggles focusing hand guess interest stories womens private parts affects lives otherwise rather dull boring anything found bit degrading inquired female friend also watched thought horrible well guy getting,0,0
19458,watched movie grounds amber benson rocks nick stahl generally pretty cool figured film featuring two actors like respect couldnt bad sense right considering cringe making dialogue given perform reasonably well well enough stop movie sucking understand well enough able make odd minutes movie thats main sign awful film minutes youre already praying hard know start problems taboo dialogue mentioned appalling wooden completely unnatural january jones acting unbelievably bad since shes character spend time following around house unforgivable flaw plot manages convoluted makes sense simultaneously clich completely predictable literally one major twists film would surprise anyone toddler interesting shots aside director tries far hard far little success awkward tracking shots jittery camera work distracting little element story three movies stars awarded fact contains amber benson last tossed grounds one jokes made snigger little bit wouldnt recommend movie anyone ever circumstances avoid costs,0,0
6431,acting pretty cheesy people area detroit area automotive engineers great movie even work japanese supplier makes movie even funny jay leno showing age last night tonight show looks pretty young years ago opening scene drag race appears woodward ave great leno also owns bad cars would great see remake modern collection sure blown vette opening scene car movie watch enjoy computer generated crap,1,1
6422,griffith could made film wanted enormous financial success birth nation chose make technically ambitious film date intolerance took risk innovations film montage form well known financial train wreck resulted buster keaton doesnt take kind risk three ages parody intolerance keatons first feature length film acted saphead fallback plan dividing three episodes film three separate shorts griffith intolerance keaton didnt chaplin already succeeded feature length comedies keaton taking risk completely calculated chaplin already done parody another film burlesque carmen keaton appears allude film well wrestling scene ancient rome episode references swordfight turns wrestling match chaplins film comical distance plot scenes furthermore chaplins film imitated glossy style demilles carmen chaplins film seemed tribute film keaton doesnt attempt radical editing narrative structure monumental nature parody seems respectful intolerance nonetheless least stories arent told completely straightforward post intolerance films dreyers leaves satans book blade satans bog fritz langs destiny der tod mild jumping back forth episodes keaton take risks however physical daredevil comedy thats keaton unintentionally failing jump across buildings modern episode reportedly convinced alter scene rather attempt jump wasnt keaton took risks anachronistic baseball gag example rather dangerous thus although different way keaton like griffith took risks big film think succeeded,1,0
1337,ring made screenplay hitchcock wrote deals many earliest love triangle first glance looks like cynical update infidelity themed morality comedies cecil mille first really competent hitchcock even yet using ideas motifs suspenseful thrillers least developing tools create suspense well student german expressionist style rhythmic editing style sergei eisenstein impact upon hitchcock keeps tempo edits content imagery apparent opening shots spinning fairground rides brilliantly establish smooth tempo like eisenstein editing style seems suggest sound example split second shot bell rung flashed almost subconsciously hear sound image jarring also contrast particularly silent films ring cluttered many title cards much possible conveyed imagery hitch enough faith audience either lip read least infer meaning bulk characters speech done contrived symbolism overacting done getting right angles right timing particularly point view shots well strong yet subtle performances unfortunately many obvious expressionist devices particularly double exposures many unnecessary far less lodger lets make honourable mentions aforementioned actors first stunningly handsome talented carl brisson lead role spite talent first bit confused got role honest looks like ballet dancer pugilist goes show much know turns brisson fact former professional boxer inexperienced acting playing rival competent ian hunter would lengthy career supporting roles right demanding role ring given lillian hall davis torn two lovers pulls well however emotive understated performance shame career never lasted sound era last least great gordon harker provides comic relief probably best ever role rings climactic fight scene among impressive moments silent era hitchcock martin scorcese may eye ring directed fight scenes raging bull watchword scenes stay inside ring fight ring starts fairly regular long shots action intensifies hitchcock drops right middle close ups point view shots hitchcocks aim always seems involve audience crucial later career secret success often immersing viewer characters fear paranoia ring really deserves recognition inferior better known lodger much polished professional work earlier probably best silent features,1,1
10182,odysessy time via computer animation supposedly work artists made late released cutting edge stuff day thought good quite interesting spots short scenes made sense forms evolving forms fun watch visuals really kind story strange sequences odd looking men creatures would dance around birds overheard computer animated new back even term computer animated well known simply chance show new technology short bits cartoon like happenings beautiful colors imaginative scenes words electronic music stoners must really loved nice intriguing minutes eye candy head candy todays effects may lost impact think youd still entertained,1,1
21912,cause crap kind movie makes want smack movie maker say horrible camera work count times camera tries remain steady one person cant dialog ridiculous acting comical looks like took ghost town west see could make movie least amount money possible bet used home video cameras make either cameramen drunk truly trailers entertaining movie ever want host worst movie party bring one want entertainment stare wall,0,0
22254,possible give movie stars suppose however many stars imdb displays think zero youll get drift director photographer timothy hines didnt much budget compared spielbergs herculean effort material rumored expensive movie ever made need insurmountable handicap ive seen wonderful work done comparative shoestring soldier saints recent example hard work integrity talent certainly possible realize faithful rendition wells novella fraction spent dreamworks war worlds unfortunately hines failed departments even spielbergs budget tom cruise signed lead movie would stunk badly barnyard animal hes foisted primarily hines seems unable tell story thanks digital video technology record images sound shows little aptitude assembling narrative records guy walks country lane lot talks badly aped received english guy walks lane shot back time show hes returning clever walking talking nearly hour thats happens ill grant one extended excursion main characters house impact site horsell common show considerable distance one place might useful first year film student could storyboard economical aesthetical establishing sequence btw half dozen times back forth back forth cetera cetera yakkity yak remarkable explanation surfeit redundancy total artistic ineptitude desire pad thirty minutes wretchedly amateurish works something could offered feature length film finally martian fighting machines appear walking talking becomes running talking shrieking later get staggering wailing dessert thankfully much dialogue lifted straight wells text else wed idea going whole point cinema illuminate text realize words alone cant convey film relies dialogue monologue tell see feel bother radio play orson welles made household name however hines thinks hes filmmaker hes content mouth words swallow meaning secondly hines able buy effects sort movie idea use one unquenchable sweet tooth eye candy believe good science fiction cinema doesnt need dazzling technical effects really potent sci fis flourished virtually none war worlds film requires certain baseline effort wells tells story hinges things seen heard even smelled effects dont need complex even crude fighting machines wires gliding miniature streets seen george pal byron haskins version must handled well unfortunately hines effects crude incompetent tripod fighting machines higher cathedral spire stomp around making noise like pogo stick bouncing linoleum martian squidoids even though oppressed four times gravity native world scurry flit without perceptible effort skeletons totally denuded flesh muscle writhe scream damn horse buggy greenscreens way across foreground dozen times flipped left right occasionally hope might notice nauseum crude technique forgivable fire effect thats less convincing fine work around dont use often show glimpses stomped woman sequence looks like crushed plum throw away necessary say martian flyer looks like toy string must use ahead please dont show twice hines wont listen get worst looking stuff used got get minutes somehow boy next acting precisely much acting whether speaking role paid die queue everybody film acting little heart evidently hines thinks hes getting bargain fleeing terror quaking behind tree lets real conniption fit take call writhing agony nonsense grandmother writhe better nevertheless cast whole individually stink arent even good amateurs neednt prove fatal many good movie made rancid acting thats directors editors brings another point hell let tim hines edit cheese factory americas butchers adept meat cutting hines film cutting next hamburger would fingers beef spite near three hour running time lots stuff missing movie sequences single frames creating herky jerky effect thats nauseating watch maybe hines intention simulate effect hand cranked cine camera say doesnt know,0,0
10150,hard core freddy fan might like seems spoof nightmare series much see reason holds self back story freddy one thing always great nightmare movies death scenes death scenes crappy visual effects great acting back story excellent basically freddys story comes full circle read bad reviews actually enjoyed despite many flaws nightmare elm street freddys dead final nightmare nightmare elm street dream master nightmare elm street dream warriors nightmare elm street dream child nightmare elm street freddys revenge recommend enjoy series freddy fully explained thats next list wes cravens new nightmare,1,1
299,enjoyed show two reasons richard dean anderson amanda tapping two performers carried show able support regulars recurring actors replacement rda seasons enough take heart show chemistry main characters tremendous get feeling actors like pal around camera stops rolling relationship carries program get see rda gives oneill character believable personality never knows give wiseass rest watch others roll eyes dismay utterances still know man around situation perilous lot going carter oneill surface manage keep lid often barely episode solitudes season best drama ever seen television love two made prospect dying bearable faced together carter jackson often smooth turbulence created oneill yet oneills tactical instincts always seem sound understands without think matter team several times placed jeopardy others listening orders quality declined markedly seasons original story arc mostly used new villains never really caught interest ben browder far inferior rda carrying show rare moments claudia black amanda tapping phoning performances two seasons could see greatly changed appearance baby probably thinking child show spin stargate atlantis moments mostly weaker effort major characters lack chemistry cast original villains wraiths improbable ludicrous maybe amanda tapping breathe life program wont last beyond fourth season always problem special effects show spaceships shaped pyramids design monstrosity seldom equaled sci use torches illumination ships bad campy use decor ancient egypt concealing ultra modern technology hard accept wondered continuity show season opener daniel jackson shot uniform gaping hole wounded crawls sarcophagus heals body restores uniform like came rack wardrobe closet episode hathor sarcophagus fall hands sgc yet never mentioned device could used several later episodes daniel oneill frasier,1,1
5978,obviously written stage lightweight worthwhile wrong ralph richardson olivier merle oberon,1,0
4062,best showing think jesus really like movies show jesus effeminate lobotomized tortured jesus laughed played serious necessary kind jesus people could attracted usually hollywood version movie took liberties attempting fill blanks fillers didnt seem impossible even improbable one thing might argue never really explained romans jesus movie portrayed romans main driver jesus death jewish authorities idea seemed movie researched well one example offhand comment teenage boy called mark believed mark john mark boy referred garden gethsemane whose cloak pulled ran away naked mark get feeling tried make movie accurate even spirit much possible,1,0
19495,lethargic direction ruins otherwise compelling period story stars wondrous zhang ziyi excellent role woman joins extremist group china prior japanese invasion manchuria reunites former lover working japan every bit drama forward motion story sucked dry director lous somnambulist directorial style characters stand still staring long minutes saying nothing hand held cameras hold forever faces showing interminable reactions way longer need edits repeat reaction triple redundancy know nothing characters story begins given little new information story progresses silence static shots lovers dont speak interaction silent dances share apparent emotional intimacy sleep inducing film,0,0
10043,intimate movie sincere girl real world hollywoods cheap fantasy good piece class ashley judd fills role impeccably may appear slow thrill seekers though cool movie calm night,1,1
21095,well thank much disney destroying fond memories used former favorite movie original movie came one first movies remember seeing feeling masochistic enough decided rent movie thus managed poison memories original movie sorry excuse movie movie takes everything made original endearing wrecks right last detail movie ariel eric celebrate birth daughter melody show everyone ocean broadway style musical number ends within minutes sea witch morgana shows threatens kill melody triton doesnt give trident thus gives without even fight eric stands gaping though ariel figures use sword save melody morgana escapes ariel eric decide melody never near sea morgana caught well nothing note really happens eric total wuss never really manages anything ariel sort something melody manages screw things plus animation new low point disney computer graphics wind clashing backgrounds ever single opportunity character development wasted songs bite look dont waste time pretty sure even little kids going bored skulls since nothing even remotely exciting ever happens wont want sing songs manage grab copy throw ocean hope nobody ever finds ever,0,0
519,monstervision show grew late night hosting penn teller one joe bob briggs show kept friday nights back high school years provided best drive memories ever come outside drive without doubt best late night television ever didnt stay missing know john bloom joe bob live want back belong monstervision question anyone else sit hours swarm long live monstervision,1,1
9977,youre adapting book written set bloody thing see year old mores values tend play well ring true far road simple rule hollywood habitually keeps violating thats problem film set era written youd think would brainer nooo elaborate bmacvs comment spells quite well ill limit commentary rachel ward looks like dieted ass completely existence role result looks like crack chemotherapy sexy gay leather couch drag found could die moment look quite disconcerting greatly detracted supposed hotness sexual tension film intended create film quite good,1,0
373,one tough watch earlier reviewer says amazing considering terrible films came right wwii particularly liberation dachau clear middle war knew exactly happening jews sequence shows transport vivid almost based upon actual newsreel nazis liked record atrocities knox nazi brilliant charts course nazi career charting particularly telling contrasted reactions germans first laughing hitler incredulous finally helpless contrast however permits believe conversion one young nazi officer anti nazi stance happen witness several attempts hitler notably staffenberg plot occurred film coming strong film effectively using flashbacks accurately predicting nuremburg trails others would occur war ended,1,1
18336,social commentary way overblown mystery built solved series implausible coincidences entirely unbelievable nothing changed fitzs personal life past decade makes remotely interesting even trouble understanding complaining stay australia compared opportunities solve mysteries england insinuate australian police seems like artificial plot point get involved crime investigation latter episodes original series pretty melodramatic implausible sometimes bordering silliness one mantle rather returning focus series one sad,0,0
7645,kudos fawcett taking roles time considered controversial recollection rape still taboo subject womens rights emotions rarely deeply examined time fawcett simply woman followed stalked actor james russo adequate obsessed psychopath times bit transparent diana scarwid bit role alfre woodard house mate woodard worries legal consequences fawcett rape victim takes revenge culprit scene throws frying pan hot oil russo classic rapist deserves keeps bondage consequences must faced real story reflecting emotions rage rape victims violated physically mentally highly recommended,1,1
15481,images great reflect well landscapes canada story side quite boring eyes love story woods like titanic love story boat feel grey owl great environmentalist usually like lord attenborough one bad,0,1
18959,disney made straight video sequels good bunch many animated features two made classic beauty beast well ones arent really sequels set events first film first two straight video films beauty beast enchanted christmas seems disliked quite fans theatrical predecessor think usually expected sequels however second one belles magical world definitely inferior film features three short stories take place belle castle place spell enchantress first perfect word misunderstanding table belle beast leads trouble neither wants first apologize next story fifis folly fifi lumieres fifth anniversary coming lumiere unprepared belle helps however fifi sees lumiere practicing romance belle thinks theyre actually love film ends broken wing story belle takes care bird broken wing bird castle probably mean trouble beast finds hates birds plot description gave original vhs version disneys third beauty beast movie apparently dvd version another story added called mrs pottss party ive seen original version however since highly doubt one story would stand classic rest see point watching special edition anyway first thing say belles magical world animation dimensional compared used disney would obviously disappoint many people didnt like beauty beast enchanted christmas much certainly cant say animation sure stories belles magical world could entertain many kids mostly younger ones think story moral could also teach valuable lessons however adults film really doesnt lot personally didnt find good humour found constant conflict belle beast got tiring stories impress much way theyre well written perfect word way belle says beast youre acting rude foolish bit cheesy think quite cheesy moments stories time straight video movie first came around eleven twelve years old dont know would thought time lost interest disney would years would gain interest back even movie first released think bit past age group aimed never saw beauty beast enchanted christmas couple months ago unlike film never even heard one recently think seeing first sequel disneys hit well much like theatrical original wouldnt missing much never became aware films existence little kids sure belles magical world highly entertaining probably somewhat educational morals recommend adult disney fans,0,1
15433,big fan caught end season three faithfully watched previous seasons syndicated concluding one well thought story arcs ever hit television even filler episodes interesting movies also well produced entertaining anything hit theaters brings river souls naturally seeing everything else high expectations martin sheen appears acting wood movie rather serious sci story story might looked good outline form even made story board however suffers obviously came time filling notion two hour movie special effects keep entertained total absence compelling story places obviously short time improvised dialog fill story made regular season would rated among worst episodes,0,0
24610,maaan start god awful movie bad bad bad story telling know director thinking made movie namaste london quite enjoyable movie honest even soundtrack good one good movie supposed musical one songs soooo bad rahman music director given two great actors much better job done director even though first half sucks last mins movie performances salman ajay save movie total disaster watch nothing better last good movie bollywood watched watch load dev wake sid,0,0
24356,liked watching mel gibson million dollar hotel might enjoy watching burt reynolds yet another film bad could never distributed attest dvd version maybe vhs version better quality wise movies night dark scenes poorly done everythings seems red first thought dvd players messed wasnt insist watching recommend adjust color black white dont never able get film simply remind poor film students attempt revist style pulp fiction,0,0
11597,let start saying watching episode first time dvd oclock one night could fall asleep brief review may contain spoilers long time fan sopranos safely say best episode ive seen saying everyone feel way episode identical weekend spent family watching father comatose icu passed episode begins tony alternate reality salesman whos identity mistaken man named kevin finnerty time ten minutes gone knew either tony dreaming watching show wasnt like normal sopranos loved option confirmed anthony kevin looks sky helicopter spotlight see prodding doctor flashlight see moment sequence plays back real life situation similar one stated tony come coma moment boys take home carmella overcome stress breaks hallway signature moment episode remainder episode cut real world family dealing potential negative outcome coma tonys alternate reality parallels whats going mind real world around comes stellar point episode finishes telling mother hes flunked school walks see meadow sitting anthonys side approaches tony utters best line episode anthony hear tonys world enters dark hotel room turns light takes shoes goes phone tries dial trying say something back carmella couldnt physically bring yet sits looks window shimmering light reoccurred throughout episode seems call side city cold like die moby marries perfectly last images helps creating emotional roller coaster episode watch next episode find light wonderful,1,1
15123,saw recent woody allen film fan work make point try see everything though reviews film led expect disappointing effort right confused movie cant decide whether wants comedy romantic fantasy drama female mid life crisis fails three alice mia farrow restless middle aged woman married great wealth leads life aimless luxury rather boring husband two small children rather mundane plot concept livened implausibilities old chinese folk healer makes invisible magic herbs ghost former lover flies manhattan additions sound fantastic something prosaic like affair saxophone player never quite sure mixed muddle trying say handful truly funny moments film endingis really preposterous touch pollyanna rent crimes misdemeanors instead superbly well done film suceeds combining comedy serious consideration ethics morals back annie hall manhattan,0,0
13317,movie starts quite intriguing scene three people drinking making small talk bar making bit outrageous stories movie unfolds turns outrageous story true however beyond movie interesting except scene bar scene main secret revealed revelation happens barely half time movie frankly much left seen rest time director lingering god forsaken russian village full pitiful creepy old ladies sure fascinating bit shocking images admiring goes way long sacrificing possible plot character development found movie another example either lousy lazy movie making instead trying make interesting story movie makers concentrate weirdly fascinating imagery almost unrelated stories case point meat traders story leave spectator figure odds ends surface artsy appearance particular case nothing lack talent,0,0
22358,little show obviously stupid little prequel spin original series compared live action series show utter crap live action show intelligent jokes story lines animated series basically toned bittersweet version younger viewers digest think maybe kids deteste crap storyline every episode basically sabrina stupid pointless dillemma uses magic fix thats basiclly idea every episode bizarre episode sabrina uses magic become gem gem become sabrina gem becomes witch hypnotizes harvery become slave leads bizarre yet rather interesting scene gem says adore harvey get hands knees starts kissing feet like shes god quite right since hes mind control slave stupid spin worth time effort,0,1
4553,say movie disappointment read reviews watching well thought would bar set high fact expectations met saying much good city new york live city like youll recognize certain places understand city supposed setting rather one main characters genuinely tender moments humorous conversations plot twists left right keep things interesting bad first thing thought leaving theater wanted positive leave wanting fashion certainly good skits scenes outweigh bad lot skits fall within category many fact ultimately brings movie also new york citys diversity though hinted though many distant pans city mentioned conversation throughout movie never really realized analyzed point city justice example many skits involve well middle aged whites mean know city home many said demographic come paris jetaimes plot character diversity makes new york city look like lancaster someplace really white disappointing see city shortchanged heritage like still even said would recommend giving new york love view knows maybe youll disagree opinion maybe wont never know see review meant deter anyone watching movie everyones opinion art differs giving vague heads expect,1,0
17117,might contain spoilers believe movie spoils start finish walked movie high expectations fault put much stock steve carells record date year old virgin little miss sunshine office also made mistake coming imdb seeing user rating going movie always good predictor past something definitely lately last time felt embarrassed much pain movie theater watching blue steel flick fumbled start finish script flunky material awful writing around murderer love love ability whoever wrote crap suffered affliction struck american beautys writer trying waaaaayyyyyy hard entire flick peppered threes companyish moments like awful contrived shower scene pointless confusing aerobics scene awful laundry room scene right think something serious real happen toss one terrible moments happens whats carells character guy meets lame broad book store suddenly head heels love lets face conversation sucked said goodbyes minutes pay close attention initial conversation misfortune watching movie carells character trying say something absolutely random funny think exact line one time kid thats seriously laughing hard coffee spout noses actors looked like pain wondering theyre directed theyre back imdb thing guys need figure way keep movies promotional team site know impossible painfully obvious first ratings reviews either posted year olds flunkys hired studio check family stones rating thats mid absolutely got thats pushing,0,0
2407,happens someone much social anxiety cease function alone one man get mundane crap order part society gets much happens frownland explores questions definitely startling original debut bronstein tone strange claustrophobic get inside mind guy named keith messed hardly form proper sentence follow around tries make contact people function day day known people like people say sorry much appreciate theres nothing appreciate know people like would someone want make movie well interesting bronstein lead actor dore mann excellent job film commercial film get friends filmed course years saved money shot scratched film look beautifully low budget distributer may tough one find think screening randomly past year hopefully itll dvd point saw silent movie theater people audience among crispin glover tells anything weird movie highly recommended,1,0
3685,whilst universally acknowledged fearful symmetry heavily influenced kolchak episode whether makes rip homage altogether controversial point huge fan series subscribe latter belief although less charitable may james whitmore brave take task directing difficult episode invisible elephants gorilla suits sounds like recipe disaster pulls style teaser absolute gem lance guest great job making credible character kyle lang jack rader seethes menace meecham forget fearful symmetrys dubious originality enjoy deeply satisfying file,1,1
5568,alex winter keanu reeves return two dopes san dimas get sent another trip lifetime someone future feels exactly opposite way presented first movie difference trip somewhere heaven hell ends meet grim reaper get chance lifetime play chance return stop two evil robots ruining future supposed besides playing roles perfected also play revive couple extra sales process classic games even original copy battleship closet reason liked movie better original deals might like instead without spoiling movie cant give anymore information guess youll watch decide stars,1,0
16491,dont know would great movie even worse anyone bother seeing one first story one could say even without story movie could worth watching invokes sort strong feeling laughter cry fear opinion movie either watching images hrs useful things guess could say movie experiment daring lacks worth hrs valuable time eur money answer,0,0
22033,kill later interesting initial premise suicidal woman selma blair verge jumping top office building protects bank robber max beesley promises kill later actual execution premise however falls flat almost every action serves mere device move plot toward predictable conclusion shoddily written characters exhibit motive behaviors compromise quality acting around lack character depth especially diminishes selma blairs performance whose character shawn vacillates morose acting cool ultimately comes across confused dolt unfortunate circumstances blair appealing capable actress compounding matters worse director dana lustigs insistence using rapid cuts incongruous special effects look unintentionally hilarious infrared motorcycle chase end hip soundtrack hopes appealing short attention spans mtv crowd certainly lustig proves able master technical side direction way skill help overcome films inherent problems thus movie drags end clearly lustig distinct visual style however perhaps better suited music videos feature film producers ram bergman lustig commended ability realize film able scare million finance film secure good cast get domestic foreign distribution small feat independent film yet given quality product result mixed bag,0,0
7008,movies native americans especially think using actual real native americans would right thing know archie belaney played pierce brosnan excellent job portraying character since englishman suggestion hollywood put american indians roles never use anyone else sioux nation put back burner far long poverty disgrace country firm belief country return black hills sioux ask israel return lands arabs make effort ashamed must practice preach,1,1
19906,director von stroheims third effort quite crude shows none exceptional flair camera editing mastery would display years later masterworks greed wedding march essentially trio grifters masquerading russian count two russian princesses rented villa monte carlo aim use counterfeit money gambling tables win fortune part plan count von stroheim insinuate visiting american ambassador foolish wife wooing hoping gain money playing weaknesses makes mistake also taking life savings maid promised marry sees together sets fire room von stroheim prey rooms balcony von stroheim first establishes persona man love hate thoroughly bad character flaws eventually bring bad deserved end film crude cinematography editing worth seeing unless fascinated director cute bit first attempts meet ambassadors wife reading book see title foolish wives erich von stroheim originally envisioned minute film cut minutes studio finally released minutes restoration kino video restores surviving footage damaged way scenes alternate earlier version give minute print,0,1
16133,iberia nice see see silver screen lot dance music like classical music modern dance could date movie otherwise one half hour long time like see skillful dancing silver screen better see bollywood movie know combine breath taking dancing long movie director carlos saura knows shoot dancing old experience time time look really good movie one hour least time interesting many kind art everything bigger life film big,0,1
17189,batman mystery batwoman word stale plot goes mysterious female vigilante batwoman intruding batmans turf batman trying combat penguin bane rupert thorne threesome hes trying figure mysterious batwoman nothing strikingly wrong nothing really special either noting really made stick mask phantasm bruces long lost love surface mess head subzero major event life freeze even batman beyond movie spin return joker dug deep characters involved mystery batwoman minor subplots lot formula topped mediocre setpiece cruise boat frankly thing scooby doo dark knight lacking punch bite animated series prime,0,0
3278,loved movie respect midgets dressed like tiny martians sure story may thin times cant take away way done used watch kids movie besides greatest quotes ever blanzees home range rendition awesome well done ask,1,1
12205,pegg hits past years starting shaun dead movie hot fuzz early came run fat boy run comes lose friends alienate people many ways one favourite comedys year film sidney yound man writes failing magazine makes fun celebritys mostly one anyway one successful magazine owners played jeff bridges invites nostalgia work magazine sidney course excited moves america meets girl currently writing book hilarity ensues film great hope come like near future pegg given people everywhere another good film cant wait see third part blood ice cream trilogy paul rate film,1,1
23853,film awful offensive extremely predictable movie follows life small town family mid father principal school going mid life crisis enter pretty teacher big city starts challenging students minds thought provoking stuff like think principal doesnt agree teaching pretty connect dots teenage daughter winona ryder wannabe tara frederick fed small town lifestyle wants live gets bad advice hangs bad boys apparently family planning wasnt taught school shocking seeing director paul shapiro mainly worked movie plays like adult version school special special episode one mundane sitcoms,0,0
3321,actually goldie hawn washington takoma park maryland digress sort smith goes washington type movie variations premise taped movie cable years ago huge crush goldie hawn story interesting highly unlikely cocktail waitress get important job government saved big shots life made laugh made mad time made laugh situations found ridiculous laugh possible spoiler ahead made mad think government would set average citizen manner set speech made end beautiful bad many people guts like real life,1,1
10223,one favorite family movies loved little still holds older still laugh old jokes might even shed tear times never much cared animals talking least animated ones one ill stand pretty old movie always hold place heart arent live animal movies think moment even could compare let alone like much one might giving much praise movie dont think show really holds great message home heart least thats message gained definitely recommended good old family movie night,1,1
7188,probably one original love stories seen ages especially war based briefly film basically story based two worlds one obviously real fictitious filmmakers say beginning coincidence real place anyway peter carter great david niven going crash plane talked june planet apes kim hunter bailed said loved meant die jumping without parachute somehow survived seeing loving june flesh place like heaven unhappy survived meant come world send french conductor marius goring persuade obviously love peter suggests appeal keep life worlds court granted obviously love prevails two lovers announce would die june even offers take place also starring robert coote bob trubshawe kathleen byron angel brief unknown lord sir richard attenborough english pilot abraham sofaer judge surgeon david niven number greatest british actors film number greatest tearjerkers happy ending number greatest war films number greatest british films number greatest films outstanding,1,1
3033,right front watching casomai changing evolving better devolving begin courius wedding two protagonists love story reported everything change child born rest usually happen couple special movie talks normal couple normality center movie doesnt want show something particular nothing new normal love story story couple normal become different rest also flashing movie everything short every scene long seconds reported story many things known friends parents talk opinion central opinions create story destroy simple story couple said boring show couple everything known sure every one want know happen dont forget watch end,1,0
10603,movie great fight scenes true acting little rough wanted see movie based acting skills would watch cheesy movie like american beauty want see movie true martial arts amazing stunts without use wires flying threw air like many movies around killing matrix watch true two main stars show kid show power rangers another cast member show bit part movie hey fight scenes enough make jet pants stunts worthy enough jackie chan sit threw admire,1,1
6474,teenager really enjoyed movie mary kate ashley worked great together everyone seemed ease thought movie plot good hope everyone else enjoys sure rent also great soccer scenes soccer players,1,1
20339,nowhere near original quite accurate copy bringing nothing new story directing poor basinger weak without good directing baldwin simply second league compared mcqueen watched curiosity huge fan peckinpahs masterpiece got thought almost movie second rate acting directing wasnt even disappointed dont know trying remake doesnt try play original material tribute indeed lacks really good actor era reminds bad xerox copy wonderful photograph complete waste time save hours watch original,0,0
